5,5,0.56
500,1,1371.13
500,2,1122.69
1000,2,34183.62
1500,1,76915.06
1500,2,66692.25
2000,1,279424.98
2000,2,315966.64
500,8,1701.88
500,16,1684.82
1000,8,24330.57
1000,16,44483.13
1500,8,112372.50
1500,16,72826.59
2000,8,429284.01
2000,16,464095.01500,1,351.50
500,2,371.58
500,2,364.52
500,1,358.42
1000,1,5514.43
1000,2,6239.86
1000,4,14972.06
